HomeTeam,AwayTeam,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HTHG,HTAG,FTR
Alaves,Real Madrid,13,11,6,4,21,12,4,4,4,4,1,1,0,1,A
Betis,Villarreal,24,8,5,2,4,13,5,5,0,4,0,0,1,1,A
Ath Bilbao,Vallecano,13,11,4,3,12,7,7,1,4,3,0,0,0,1,H
Ath Madrid,Valladolid,24,6,9,3,11,8,5,1,1,1,0,0,2,1,H
Espanol,Getafe,9,9,3,4,12,15,6,8,0,2,0,1,1,0,H
Vallecano,Valencia,11,10,4,3,18,13,5,2,3,1,0,0,1,0,D
Barcelona,Celta,18,11,6,8,10,13,4,1,2,2,0,0,1,1,H
Mallorca,Leganes,11,15,1,1,17,15,4,4,2,1,0,0,0,0,D
Las Palmas,Ath Madrid,8,7,2,2,13,13,4,4,3,1,0,0,0,0,H
Valladolid,Osasuna,12,11,5,6,12,17,5,2,2,0,0,0,0,2,A
Villarreal,Sociedad,20,4,5,4,12,12,10,4,5,1,0,0,1,1,D
Sevilla,Alaves,10,11,2,3,10,11,3,6,2,2,0,0,1,1,D
Real Madrid,Ath Bilbao,22,3,7,1,7,15,14,1,1,2,0,0,0,0,H
Girona,Betis,11,17,5,9,13,11,8,9,3,2,0,0,0,3,A
Valencia,Espanol,16,8,7,3,7,7,6,4,2,1,0,0,0,1,D
Barcelona,Mallorca,40,4,13,0,10,7,13,2,0,1,0,0,0,0,H
Ath Bilbao,Las Palmas,13,10,4,2,13,9,3,3,1,3,0,0,1,0,H
Celta,Villarreal,21,4,9,1,16,10,6,3,2,1,0,1,1,0,H
Alaves,Sociedad,10,6,1,0,17,17,6,6,4,5,0,0,0,0,H
Getafe,Real Madrid,20,14,6,7,15,7,4,4,3,1,0,0,0,1,A
Leganes,Girona,7,8,1,3,16,18,4,5,4,2,1,0,0,0,D
Osasuna,Sevilla,9,12,2,3,14,13,4,4,4,2,0,1,1,0,H
Ath Madrid,Vallecano,10,12,5,5,8,15,6,3,0,2,0,0,2,0,H
